loss	d_loss	rec_loss	
4.537527	1.466371	3.071155	
4.532183	1.466588	3.065595	
4.526958	1.466603	3.060355	
4.522980	1.466372	3.056608	
4.514719	1.466796	3.047922	
4.512360	1.466408	3.045951	
4.507745	1.466812	3.040933	
4.501279	1.466211	3.035068	
4.495652	1.466513	3.029139	
4.491281	1.466636	3.024644	
4.486482	1.466530	3.019951	
4.481694	1.466311	3.015383	
4.436861	1.465490	2.971372	
4.428265	1.465832	2.962433	
4.426093	1.466202	2.959891	
4.417378	1.466125	2.951253	
4.415217	1.466351	2.948866	
4.411304	1.465964	2.945340	
4.409549	1.466377	2.943172	
4.403483	1.465891	2.937593	
4.397768	1.466255	2.931513	
4.390466	1.465731	2.924736	
4.387418	1.465838	2.921580	
4.381562	1.465753	2.915809	
4.378783	1.466011	2.912771	
4.372374	1.465783	2.906591	
4.370874	1.466057	2.904818	
4.363833	1.465954	2.897880	
4.361504	1.466166	2.895337	
4.355563	1.465938	2.889626	
4.353397	1.466012	2.887385	
4.346065	1.465840	2.880224	
4.344227	1.465957	2.878270	
4.338561	1.465880	2.872681	
4.336678	1.466107	2.870571	
4.330824	1.465821	2.865003	
4.328602	1.465901	2.862701	
4.321237	1.465761	2.855476	
4.316246	1.465849	2.850397	
4.313906	1.465673	2.848233	
4.310019	1.465852	2.844167	
4.306164	1.466012	2.840152	
4.302351	1.465848	2.836504	
4.297170	1.465510	2.831660	
4.296274	1.465744	2.830530	
4.291906	1.465786	2.826121	
4.286085	1.465736	2.820349	
4.283771	1.465551	2.818220	
4.280058	1.465764	2.814294	
4.274235	1.465614	2.808621	
4.273187	1.465794	2.807393	
4.268647	1.465550	2.803097	
4.264730	1.465822	2.798908	
4.263064	1.465521	2.797543	
4.257696	1.465854	2.791842	
4.255592	1.465410	2.790182	
4.251804	1.465598	2.786207	
4.247006	1.465408	2.781598	
4.244562	1.465714	2.778847	
4.241415	1.465353	2.776062	
4.236264	1.465480	2.770783	
4.233101	1.465392	2.767710	
4.228765	1.465560	2.763205	
4.225368	1.465314	2.760054	
4.223618	1.465382	2.758236	
4.219399	1.465373	2.754026	
4.217572	1.465362	2.752210	
4.212527	1.465414	2.747113	
4.212024	1.465645	2.746379	
4.205916	1.465199	2.740717	
4.204799	1.465589	2.739210	
4.200250	1.465336	2.734914	
4.196966	1.465317	2.731649	
4.194812	1.465479	2.729333	
4.190366	1.465352	2.725014	
4.187282	1.465156	2.722126	
4.184528	1.465340	2.719188	
4.180334	1.465247	2.715087	
4.176116	1.465391	2.710725	
4.173999	1.465138	2.708862	
4.169322	1.465337	2.703986	
4.169168	1.465228	2.703940	
4.148704	1.465001	2.683702	
4.146604	1.465308	2.681296	
4.142365	1.465193	2.677172	
4.140736	1.465366	2.675369	
4.138845	1.465116	2.673728	
4.136778	1.465140	2.671638	
4.133153	1.465057	2.668096	
4.129229	1.465241	2.663987	
4.128389	1.465050	2.663339	
4.125464	1.465243	2.660221	
4.122416	1.464958	2.657458	
4.121598	1.465106	2.656492	
4.117026	1.465084	2.651942	
4.115450	1.465060	2.650391	
4.112224	1.465006	2.647218	
4.110125	1.464979	2.645146	
4.109546	1.464925	2.644620	
4.105707	1.465212	2.640495	
4.104252	1.464975	2.639277	
4.102224	1.464936	2.637287	
4.099026	1.465023	2.634003	
4.096128	1.464979	2.631148	
4.093728	1.464764	2.628964	
4.091099	1.465115	2.625984	
4.089438	1.464698	2.624741	
4.086579	1.465044	2.621535	
4.085715	1.464767	2.620948	
4.081506	1.465006	2.616500	
4.081272	1.464731	2.616541	
4.075137	1.464972	2.610165	
4.075096	1.464825	2.610271	
4.073081	1.464859	2.608222	
4.068992	1.464824	2.604168	
4.068088	1.465116	2.602972	
4.066796	1.464879	2.601917	
4.064098	1.464783	2.599315	
4.061316	1.464801	2.596515	
4.058349	1.464892	2.593456	
4.056839	1.464694	2.592145	
4.055081	1.464879	2.590203	
4.052896	1.464651	2.588245	
4.051862	1.464650	2.587212	
4.047786	1.464679	2.583107	
4.045347	1.464888	2.580460	
4.042418	1.464709	2.577710	
4.041174	1.464822	2.576352	
4.038225	1.464677	2.573548	
4.037484	1.464950	2.572534	
4.033372	1.464606	2.568766	
4.031448	1.464669	2.566779	
4.031291	1.464651	2.566640	
4.028908	1.464630	2.564277	
4.025989	1.464594	2.561395	
3.624376	1.464754	2.159622	
4.020267	1.464640	2.555626	
4.018992	1.464712	2.554280	
4.016822	1.464637	2.552185	
4.015332	1.464886	2.550446	
3.614723	1.464818	2.149906	
3.611948	1.465036	2.146912	
3.611735	1.464872	2.146862	
3.608948	1.464915	2.144033	
3.606241	1.464901	2.141340	
3.603803	1.464925	2.138878	
3.601454	1.464738	2.136716	
3.599360	1.464815	2.134545	
3.595969	1.464712	2.131257	
3.595431	1.464694	2.130737	
3.592336	1.464719	2.127617	
3.588843	1.464782	2.124061	
3.584660	1.464578	2.120081	
3.581157	1.464749	2.116408	
3.579916	1.464450	2.115466	
3.578594	1.464599	2.113995	
3.578089	1.464532	2.113556	
3.576751	1.464725	2.112026	
3.574653	1.464594	2.110059	
3.572720	1.464721	2.107999	
3.572467	1.464677	2.107790	
3.569501	1.464608	2.104893	
3.569554	1.464437	2.105117	
3.567961	1.464562	2.103398	
3.564193	1.464459	2.099735	
3.566099	1.464550	2.101549	
3.564877	1.464409	2.100468	
3.562890	1.464520	2.098370	
3.559979	1.464535	2.095444	
3.559241	1.464463	2.094778	
3.556319	1.464331	2.091989	
3.555768	1.464426	2.091342	
3.554646	1.464523	2.090123	
3.553111	1.464420	2.088691	
3.552190	1.464427	2.087764	
3.548174	1.464490	2.083684	
3.548645	1.464320	2.084325	
3.549208	1.464523	2.084686	
3.550274	1.464249	2.086025	
3.544410	1.464251	2.080159	
3.544791	1.464339	2.080452	
3.543288	1.464357	2.078931	
3.540637	1.464377	2.076260	
3.539693	1.464366	2.075327	
3.538152	1.464291	2.073861	
3.537069	1.464259	2.072810	
3.534672	1.464209	2.070463	
3.534130	1.464330	2.069800	
3.533913	1.464261	2.069652	
3.531812	1.464296	2.067516	
3.530620	1.464242	2.066378	
3.531544	1.464359	2.067185	
3.528052	1.464125	2.063927	
3.527202	1.464323	2.062880	
3.525213	1.464169	2.061044	
3.523901	1.464214	2.059688	
3.523140	1.464053	2.059087	
3.519976	1.464224	2.055752	
3.520553	1.464074	2.056478	
3.518495	1.464279	2.054215	
3.515801	1.464128	2.051672	
3.517817	1.464258	2.053558	
3.515161	1.464106	2.051054	
3.511780	1.464194	2.047585	
3.511298	1.464124	2.047174	
3.510260	1.464012	2.046248	
3.509152	1.464047	2.045106	
3.508237	1.464165	2.044072	
3.506936	1.463961	2.042975	
3.504268	1.464119	2.040148	
3.504135	1.464118	2.040018	
3.501277	1.463981	2.037297	
3.502447	1.463984	2.038463	
3.500659	1.463963	2.036696	
3.497949	1.463998	2.033951	
3.496420	1.464159	2.032261	
3.496106	1.464098	2.032008	
3.495256	1.464031	2.031225	
3.493538	1.464086	2.029451	
3.494131	1.464050	2.030081	
3.494481	1.464053	2.030427	
3.488859	1.463964	2.024894	
3.487645	1.463907	2.023738	
3.487277	1.463992	2.023285	
3.484638	1.463919	2.020719	
3.486455	1.463900	2.022555	
3.482883	1.463975	2.018908	
3.482572	1.463983	2.018589	
3.482532	1.463936	2.018595	
3.480924	1.463856	2.017067	
3.480077	1.463991	2.016085	
3.480308	1.463979	2.016329	
3.479135	1.463868	2.015268	
3.477253	1.463879	2.013374	
3.477379	1.463900	2.013479	
3.476467	1.463775	2.012692	
3.474014	1.463935	2.010079	
3.476051	1.463912	2.012139	
3.474050	1.463919	2.010131	
3.474580	1.463731	2.010849	
3.471059	1.463958	2.007100	
3.471111	1.463798	2.007313	
3.469555	1.463871	2.005684	
3.470118	1.463819	2.006299	
3.469347	1.463890	2.005457	
3.465941	1.463801	2.002140	
3.466586	1.463771	2.002814	
3.466709	1.463868	2.002841	
3.466252	1.463765	2.002487	
3.463528	1.463703	1.999825	
3.464081	1.463877	2.000204	
3.461588	1.463673	1.997915	
3.460523	1.463835	1.996688	
3.460022	1.463775	1.996247	
3.459248	1.463666	1.995582	
3.459669	1.463723	1.995946	
3.459033	1.463656	1.995376	
3.456842	1.463789	1.993054	
3.456558	1.463688	1.992870	
3.455841	1.463738	1.992103	
3.455638	1.463772	1.991866	
3.453974	1.463760	1.990214	
3.454701	1.463734	1.990967	
3.455468	1.463694	1.991774	
3.453645	1.463643	1.990001	
3.450134	1.463606	1.986528	
3.449731	1.463732	1.986000	
3.447950	1.463647	1.984303	
3.449113	1.463723	1.985390	
3.447209	1.463610	1.983599	
3.445174	1.463688	1.981486	
3.446592	1.463763	1.982829	
3.446108	1.463584	1.982524	
3.444047	1.463642	1.980405	
3.445222	1.463663	1.981560	
3.443192	1.463702	1.979490	
3.441607	1.463576	1.978031	
3.442238	1.463583	1.978655	
3.438669	1.463528	1.975141	
3.437903	1.463546	1.974357	
3.439238	1.463634	1.975604	
3.437312	1.463529	1.973783	
3.437870	1.463575	1.974294	
3.435581	1.463539	1.972043	
3.436147	1.463591	1.972556	
3.434189	1.463648	1.970542	
3.433561	1.463617	1.969944	
3.433108	1.463579	1.969528	
3.434180	1.463540	1.970639	
3.432018	1.463586	1.968432	
3.430963	1.463548	1.967415	
3.428802	1.463452	1.965350	
3.432289	1.463596	1.968693	
3.428871	1.463548	1.965323	
3.429606	1.463519	1.966088	
3.428424	1.463479	1.964945	
